Versa Service Name,Protocol,Port,Has Palo Alto Match,Palo Alto Service(s),Palo Alto Count
eyelink,tcp,589,No,,0
eyelink,udp,589,No,,0
fatserv,tcp,347,No,,0
fatserv,udp,347,No,,0
fcp-udp,tcp,810,No,,0
fcp-udp,udp,810,No,,0
fcp,tcp,510,No,,0
fcp,udp,510,No,,0
finger,tcp,79,Yes,service-finger,1
finger,udp,79,No,,0
flexlm,tcp,744,No,,0
flexlm,udp,744,No,,0
fln-spx,tcp,221,No,,0
fln-spx,udp,221,No,,0
ftp-agent,tcp,574,No,,0
ftp-agent,udp,574,No,,0
ftp-data,sctp,20,No,,0
ftp-data,tcp,20,No,,0
ftp-data,udp,20,No,,0
ftps-data,tcp,989,Yes,service-ftps-data,1
ftps-data,udp,989,No,,0
ftps,tcp,990,Yes,service-ftps,1
ftps,udp,990,No,,0
ftp,sctp,21,No,,0
ftp,tcp,21,Yes,service-ftp,1
ftp,udp,21,No,,0
fujitsu-dev,tcp,747,No,,0
fujitsu-dev,udp,747,No,,0
fxp,tcp,286,No,,0
fxp,udp,286,No,,0
gacp,tcp,190,No,,0
gacp,udp,190,No,,0
garcon,tcp,999,No,,0
gdoi,tcp,848,No,,0
gdoi,udp,848,No,,0
gdomap,tcp,538,No,,0
gdomap,udp,538,No,,0
genie,tcp,402,No,,0
genie,udp,402,No,,0
genrad-mux,tcp,176,No,,0
genrad-mux,udp,176,No,,0
ggf-ncp,tcp,678,No,,0
ggf-ncp,udp,678,No,,0
ginad,tcp,634,No,,0
ginad,udp,634,No,,0
gist,udp,270,No,,0
go-login,tcp,491,No,,0
go-login,udp,491,No,,0
gopher,tcp,70,Yes,service-gopher,1
gopher,udp,70,No,,0
gppitnp,tcp,103,No,,0
gppitnp,udp,103,No,,0
graphics,tcp,41,No,,0
graphics,udp,41,No,,0
gss-http,tcp,488,No,,0
gss-http,udp,488,No,,0
gss-xlicen,tcp,128,No,,0
gss-xlicen,udp,128,No,,0
ha-cluster,tcp,694,No,,0
ha-cluster,udp,694,No,,0
hap,tcp,661,No,,0
hap,udp,661,No,,0
hassle,tcp,375,No,,0
hassle,udp,375,No,,0
hcp-wismar,tcp,686,No,,0
hcp-wismar,udp,686,No,,0
hdap,tcp,263,No,,0
hdap,udp,263,No,,0
hello-port,tcp,652,No,,0
hello-port,udp,652,No,,0
hems,tcp,151,No,,0
hems,udp,151,No,,0
hmmp-ind,tcp,612,No,,0
hmmp-ind,udp,612,No,,0
hmmp-op,tcp,613,No,,0
hmmp-op,udp,613,No,,0
hostname,tcp,101,No,,0
hostname,udp,101,No,,0
hp-alarm-mgr,tcp,383,No,,0
hp-alarm-mgr,udp,383,No,,0
hp-collector,tcp,381,No,,0
hp-collector,udp,381,No,,0
hp-managed-node,tcp,382,No,,0
hp-managed-node,udp,382,No,,0
http-alt,tcp,591,No,,0
http-alt,udp,591,No,,0
http-mgmt,tcp,280,No,,0
http-mgmt,udp,280,No,,0
http-rpc-epmap,tcp,593,No,,0
http-rpc-epmap,udp,593,No,,0
https,sctp,443,No,,0
https,tcp,443,Yes,service-https; service-ssl; service-vmware-web,3
https,udp,443,No,,0
http,sctp,80,No,,0
http,tcp,80,Yes,service-http; service-vmware-web,2
http,udp,80,No,,0
hybrid-pop,tcp,473,No,,0
hybrid-pop,udp,473,No,,0
hyper-g,tcp,418,No,,0
hyper-g,udp,418,No,,0
hyperwave-isp,tcp,692,No,,0
hyperwave-isp,udp,692,No,,0
iafdbase,tcp,480,No,,0
iafdbase,udp,480,No,,0
iafserver,tcp,479,No,,0
iafserver,udp,479,No,,0
iasd,tcp,432,No,,0
iasd,udp,432,No,,0
ibm-app,tcp,385,No,,0
ibm-app,udp,385,No,,0
ibm-db2,tcp,523,No,,0
ibm-db2,udp,523,No,,0
icad-el,tcp,425,No,,0
icad-el,udp,425,No,,0
iclcnet-locate,tcp,886,No,,0
iclcnet-locate,udp,886,No,,0
iclcnet-svinfo,tcp,887,No,,0
iclcnet-svinfo,udp,887,No,,0
iclcnet_svinfo,tcp,887,No,,0
iclcnet_svinfo,udp,887,No,,0
ideafarm-door,tcp,902,Yes,service-vmware-server,1
ideafarm-door,udp,902,No,,0
ideafarm-panic,tcp,903,Yes,service-vmware-auth,1
ideafarm-panic,udp,903,No,,0
ident,tcp,113,Yes,service-ident,1
idfp,tcp,549,No,,0
idfp,udp,549,No,,0
idxp,tcp,603,No,,0
idxp,udp,603,No,,0
ieee-mms-ssl,tcp,695,No,,0
ieee-mms-ssl,udp,695,No,,0
ieee-mms,tcp,651,No,,0
ieee-mms,udp,651,No,,0
igmpv3lite,udp,465,No,,0
iiop,tcp,535,No,,0
iiop,udp,535,No,,0
imap3,tcp,220,No,,0
imap3,udp,220,No,,0
imaps,tcp,993,Yes,service-imaps,1
imaps,udp,993,No,,0
imap,tcp,143,Yes,service-imap,1
imap,udp,143,No,,0
imsp,tcp,406,No,,0
imsp,udp,406,No,,0
inbusiness,tcp,244,No,,0
inbusiness,udp,244,No,,0
infoseek,tcp,414,No,,0
infoseek,udp,414,No,,0
ingres-net,tcp,134,No,,0
ingres-net,udp,134,No,,0
intecourier,tcp,495,No,,0
intecourier,udp,495,No,,0
integra-sme,tcp,484,No,,0
integra-sme,udp,484,No,,0
intrinsa,tcp,503,No,,0
intrinsa,udp,503,No,,0
ipcd,tcp,576,No,,0
ipcd,udp,576,No,,0
ipcserver,tcp,600,No,,0
ipcserver,udp,600,No,,0
ipdd,tcp,578,No,,0
ipdd,udp,578,No,,0
ipp,tcp,631,No,,0
ipp,udp,631,No,,0
ipx,tcp,213,No,,0
ipx,udp,213,No,,0
irc-serv,tcp,529,No,,0
irc-serv,udp,529,No,,0
irc,tcp,194,No,,0
irc,udp,194,No,,0
iris-beep,tcp,702,No,,0
iris-beep,udp,702,No,,0
iris-lwz,tcp,715,No,,0
iris-lwz,udp,715,No,,0
iris-xpcs,tcp,714,No,,0
iris-xpcs,udp,714,No,,0
iris-xpc,tcp,713,No,,0
iris-xpc,udp,713,No,,0
is99c,tcp,379,No,,0
is99c,udp,379,No,,0
is99s,tcp,380,No,,0
is99s,udp,380,No,,0
isakmp,tcp,500,No,,0
isakmp,udp,500,Yes,service-ike; service-isakmp,2
iscsi,tcp,860,No,,0
iscsi,udp,860,No,,0
isi-gl,tcp,55,No,,0
isi-gl,udp,55,No,,0
iso-ill,tcp,499,No,,0
iso-ill,udp,499,No,,0
iso-ip,tcp,147,No,,0
iso-ip,udp,147,No,,0
iso-tp0,tcp,146,No,,0
iso-tp0,udp,146,No,,0
iso-tsap-c2,tcp,399,No,,0
iso-tsap-c2,udp,399,No,,0
iso-tsap,tcp,102,No,,0
iso-tsap,udp,102,No,,0
itm-mcell-s,tcp,828,No,,0
itm-mcell-s,udp,828,No,,0
jargon,tcp,148,No,,0
jargon,udp,148,No,,0
k-block,tcp,287,No,,0
k-block,udp,287,No,,0
kerberos-adm,tcp,749,No,,0
kerberos-adm,udp,749,No,,0
kerberos-iv,udp,750,No,,0
kerberos,tcp,88,Yes,service-kerberos,1
kerberos,udp,88,Yes,service-kerberos-udp,1
keyserver,tcp,584,No,,0
keyserver,udp,584,No,,0
kink,tcp,910,No,,0
kink,udp,910,No,,0
kis,tcp,186,No,,0
kis,udp,186,No,,0
klogin,tcp,543,No,,0
klogin,udp,543,No,,0
knet-cmp,tcp,157,No,,0
knet-cmp,udp,157,No,,0
kpasswd,tcp,464,No,,0
kpasswd,udp,464,No,,0
kryptolan,tcp,398,No,,0
kryptolan,udp,398,No,,0
kshell,tcp,544,No,,0
kshell,udp,544,No,,0
lanserver,tcp,637,No,,0
lanserver,udp,637,No,,0
ldaps,tcp,636,Yes,service-ldaps,1
ldaps,udp,636,No,,0
ldap,tcp,389,Yes,service-ldap,1
ldap,udp,389,Yes,service-ldap-udp,1
ldp,tcp,646,No,,0
ldp,udp,646,No,,0
legent-1,tcp,373,No,,0
legent-1,udp,373,No,,0
legent-2,tcp,374,No,,0
legent-2,udp,374,No,,0
link,tcp,245,No,,0
link,udp,245,No,,0
ljk-login,tcp,472,No,,0
ljk-login,udp,472,No,,0
lmp,tcp,701,No,,0
lmp,udp,701,No,,0
loadav,udp,750,No,,0
locus-con,tcp,127,No,,0
locus-con,udp,127,No,,0
locus-map,tcp,125,No,,0
locus-map,udp,125,No,,0
login,tcp,513,Yes,service-rlogin; service-who,2
mac-srvr-admin,tcp,660,No,,0
mac-srvr-admin,udp,660,No,,0
macon-tcp,tcp,456,No,,0
macon-udp,udp,456,No,,0
magenta-logic,tcp,313,No,,0
magenta-logic,udp,313,No,,0
mailbox-lm,tcp,505,No,,0
mailbox-lm,udp,505,No,,0
mailq,tcp,174,No,,0
mailq,udp,174,No,,0
maitrd,tcp,997,No,,0
maitrd,udp,997,No,,0
manet,tcp,269,No,,0
manet,udp,269,No,,0
masqdialer,tcp,224,No,,0
masqdialer,udp,224,No,,0
matip-type-a,tcp,350,No,,0
matip-type-a,udp,350,No,,0
matip-type-b,tcp,351,No,,0
matip-type-b,udp,351,No,,0
mbap-s,tcp,802,No,,0
mbap-s,udp,802,No,,0
mbap,tcp,502,No,,0
mbap,udp,502,No,,0
mcidas,tcp,112,No,,0
mcidas,udp,112,No,,0
mcns-sec,tcp,638,No,,0
mcns-sec,udp,638,No,,0
mdbs-daemon,tcp,800,No,,0
mdbs-daemon,udp,800,No,,0
mdbs_daemon,tcp,800,No,,0
mdbs_daemon,udp,800,No,,0
mdc-portmapper,tcp,685,No,,0
mdc-portmapper,udp,685,No,,0
mdqs,tcp,666,No,,0
mdqs,udp,666,No,,0
mecomm,tcp,668,No,,0
mecomm,udp,668,No,,0
meregister,tcp,669,No,,0
meregister,udp,669,No,,0
meta5,tcp,393,No,,0
meta5,udp,393,No,,0
metagram,tcp,99,No,,0
metagram,udp,99,No,,0
meter,tcp,570,No,,0
meter,tcp,571,No,,0
meter,udp,570,No,,0
meter,udp,571,No,,0
mfcobol,tcp,86,No,,0
mfcobol,udp,86,No,,0
mftp,tcp,349,No,,0
mftp,udp,349,No,,0
micom-pfs,tcp,490,No,,0
micom-pfs,udp,490,No,,0
microsoft-ds,tcp,445,Yes,service-cifs; service-ms-ds; service-samba; service-smb,4
microsoft-ds,udp,445,No,,0
mit-dov,tcp,91,No,,0
mit-dov,udp,91,No,,0
mit-ml-dev,tcp,83,No,,0
mit-ml-dev,tcp,85,No,,0
mit-ml-dev,udp,83,No,,0
mit-ml-dev,udp,85,No,,0
mobileip-agent,tcp,434,No,,0
mobileip-agent,udp,434,No,,0
mobilip-mn,tcp,435,No,,0
mobilip-mn,udp,435,No,,0
mondex,tcp,471,No,,0
mondex,udp,471,No,,0
monitor,tcp,561,No,,0
monitor,udp,561,No,,0
mortgageware,tcp,367,No,,0
mortgageware,udp,367,No,,0
mpm-flags,tcp,44,No,,0
mpm-flags,udp,44,No,,0
mpm-snd,tcp,46,No,,0
mpm-snd,udp,46,No,,0
mpm,tcp,45,No,,0
mpm,udp,45,No,,0
mpp,tcp,218,No,,0
mpp,udp,218,No,,0
mptn,tcp,397,No,,0
mptn,udp,397,No,,0
mrm,tcp,679,No,,0
mrm,udp,679,No,,0
ms-rome,tcp,569,No,,0
ms-rome,udp,569,No,,0
ms-shuttle,tcp,568,No,,0
ms-shuttle,udp,568,No,,0
msdp,tcp,639,No,,0
msdp,udp,639,No,,0
msexch-routing,tcp,691,No,,0
msexch-routing,udp,691,No,,0
msg-auth,tcp,31,No,,0
msg-auth,udp,31,No,,0
msg-icp,tcp,29,No,,0
msg-icp,udp,29,No,,0
msp,tcp,18,No,,0
msp,udp,18,No,,0
multiling-http,tcp,777,No,,0
multiling-http,udp,777,No,,0
multiplex,tcp,171,No,,0
multiplex,udp,171,No,,0
